category	short_label	full_label	super_category
0004829	threonine-tRNA ligase activity	threonine-tRNA ligase activity (GO:0004829)	
0004830	tryptophan-tRNA ligase activity	tryptophan-tRNA ligase activity (GO:0004830)	
0004831	tyrosine-tRNA ligase activity	tyrosine-tRNA ligase activity (GO:0004831)	
0004832	valine-tRNA ligase activity	valine-tRNA ligase activity (GO:0004832)	
0005047	signal recognition particle binding	signal recognition particle binding (GO:0005047)	
0005048	signal sequence binding	signal sequence binding (GO:0005048)	
0005215	transporter activity	transporter activity (GO:0005215)	
0005506	iron ion binding	iron ion binding (GO:0005506)	
0005515	protein binding	protein binding (GO:0005515)	
0005524	ATP binding	ATP binding (GO:0005524)	
0005525	GTP binding	GTP binding (GO:0005525)	
0005694	chromosome	chromosome (GO:0005694)	
0005737	cytoplasm	cytoplasm (GO:0005737)	
0005829	cytosol	cytosol (GO:0005829)	
0005840	ribosome	ribosome (GO:0005840)	
0005854	nascent polypeptide-associated complex	nascent polypeptide-associated complex (GO:0005854)	
0005886	plasma membrane	plasma membrane (GO:0005886)	
0005975	carbohydrate metabolic process	carbohydrate metabolic process (GO:0005975)	
0006006	glucose metabolic process	glucose metabolic process (GO:0006006)	
0006094	gluconeogenesis	gluconeogenesis (GO:0006094)	
0006096	glycolytic process	glycolytic process (GO:0006096)	
0006098	pentose-phosphate shunt	pentose-phosphate shunt (GO:0006098)	
0006139	nucleobase-containing compound metabo...	nucleobase-containing compound metabolic process (GO:0006139)	
0006163	purine nucleotide metabolic process	purine nucleotide metabolic process (GO:0006163)	
0006164	purine nucleotide biosynthetic process	purine nucleotide biosynthetic process (GO:0006164)	
0006177	GMP biosynthetic process	GMP biosynthetic process (GO:0006177)	
0006189	'de novo' IMP biosynthetic process	'de novo' IMP biosynthetic process (GO:0006189)	
0006207	'de novo' pyrimidine nucleobase biosy...	'de novo' pyrimidine nucleobase biosynthetic proce (GO:0006207)	
0006221	pyrimidine nucleotide biosynthetic pr...	pyrimidine nucleotide biosynthetic process (GO:0006221)	
0006260	DNA replication	DNA replication (GO:0006260)	
0006261	DNA-templated DNA replication	DNA-templated DNA replication (GO:0006261)	
0006265	DNA topological change	DNA topological change (GO:0006265)	
0006269	DNA replication, synthesis of primer	DNA replication, synthesis of primer (GO:0006269)	
0006275	regulation of DNA replication	regulation of DNA replication (GO:0006275)	
0006281	DNA repair	DNA repair (GO:0006281)	
0006284	base-excision repair	base-excision repair (GO:0006284)	
0006289	nucleotide-excision repair	nucleotide-excision repair (GO:0006289)	
0006310	DNA recombination	DNA recombination (GO:0006310)	
0006351	DNA-templated transcription	DNA-templated transcription (GO:0006351)	
0006352	DNA-templated transcription initiation	DNA-templated transcription initiation (GO:0006352)	
0006353	DNA-templated transcription termination	DNA-templated transcription termination (GO:0006353)	
0006355	regulation of DNA-templated transcrip...	regulation of DNA-templated transcription (GO:0006355)	
0006364	rRNA processing	rRNA processing (GO:0006364)	
0006396	RNA processing	RNA processing (GO:0006396)	
0006400	tRNA modification	tRNA modification (GO:0006400)	
0006402	mRNA catabolic process	mRNA catabolic process (GO:0006402)	
0006412	translation	translation (GO:0006412)	
0006413	translational initiation	translational initiation (GO:0006413)	
0006414	translational elongation	translational elongation (GO:0006414)	
0006415	translational termination	translational termination (GO:0006415)	
0006418	tRNA aminoacylation for protein trans...	tRNA aminoacylation for protein translation (GO:0006418)	
0006419	alanyl-tRNA aminoacylation	alanyl-tRNA aminoacylation (GO:0006419)	
0006420	arginyl-tRNA aminoacylation	arginyl-tRNA aminoacylation (GO:0006420)	
0006423	cysteinyl-tRNA aminoacylation	cysteinyl-tRNA aminoacylation (GO:0006423)	
0006424	glutamyl-tRNA aminoacylation	glutamyl-tRNA aminoacylation (GO:0006424)	
0006426	glycyl-tRNA aminoacylation	glycyl-tRNA aminoacylation (GO:0006426)	
0006427	histidyl-tRNA aminoacylation	histidyl-tRNA aminoacylation (GO:0006427)	
0006428	isoleucyl-tRNA aminoacylation	isoleucyl-tRNA aminoacylation (GO:0006428)	
0006429	leucyl-tRNA aminoacylation	leucyl-tRNA aminoacylation (GO:0006429)	
0006430	lysyl-tRNA aminoacylation	lysyl-tRNA aminoacylation (GO:0006430)	
0006431	methionyl-tRNA aminoacylation	methionyl-tRNA aminoacylation (GO:0006431)	
0006432	phenylalanyl-tRNA aminoacylation	phenylalanyl-tRNA aminoacylation (GO:0006432)	
0006433	prolyl-tRNA aminoacylation	prolyl-tRNA aminoacylation (GO:0006433)	
0006434	seryl-tRNA aminoacylation	seryl-tRNA aminoacylation (GO:0006434)	
0006435	threonyl-tRNA aminoacylation	threonyl-tRNA aminoacylation (GO:0006435)	
0006436	tryptophanyl-tRNA aminoacylation	tryptophanyl-tRNA aminoacylation (GO:0006436)	
0006437	tyrosyl-tRNA aminoacylation	tyrosyl-tRNA aminoacylation (GO:0006437)	
0006438	valyl-tRNA aminoacylation	valyl-tRNA aminoacylation (GO:0006438)	
0006457	protein folding	protein folding (GO:0006457)	
0006465	signal peptide processing	signal peptide processing (GO:0006465)	
0006508	proteolysis	proteolysis (GO:0006508)	
0006520	amino acid metabolic process	amino acid metabolic process (GO:0006520)	
0006522	alanine metabolic process	alanine metabolic process (GO:0006522)	
0006541	glutamine metabolic process	glutamine metabolic process (GO:0006541)	
0006556	S-adenosylmethionine biosynthetic pro...	S-adenosylmethionine biosynthetic process (GO:0006556)	
0006614	SRP-dependent cotranslational protein...	SRP-dependent cotranslational protein targeting to (GO:0006614)	
0006633	fatty acid biosynthetic process	fatty acid biosynthetic process (GO:0006633)	
0006730	one-carbon metabolic process	one-carbon metabolic process (GO:0006730)	
0006779	porphyrin-containing compound biosynt...	porphyrin-containing compound biosynthetic process (GO:0006779)	
0006810	transport	transport (GO:0006810)	
0006812	monoatomic cation transport	monoatomic cation transport (GO:0006812)	
0006817	phosphate ion transport	phosphate ion transport (GO:0006817)	
0006886	intracellular protein transport	intracellular protein transport (GO:0006886)	
0006950	response to stress	response to stress (GO:0006950)	
0007165	signal transduction	signal transduction (GO:0007165)	
0008033	tRNA processing	tRNA processing (GO:0008033)	
0008080	N-acetyltransferase activity	N-acetyltransferase activity (GO:0008080)	
0008094	ATP-dependent activity, acting on DNA	ATP-dependent activity, acting on DNA (GO:0008094)	
0008135	translation factor activity, RNA binding	translation factor activity, RNA binding (GO:0008135)	
0008152	metabolic process	metabolic process (GO:0008152)	
0008168	methyltransferase activity	methyltransferase activity (GO:0008168)	
0008173	RNA methyltransferase activity	RNA methyltransferase activity (GO:0008173)	
0008233	peptidase activity	peptidase activity (GO:0008233)	
0008236	serine-type peptidase activity	serine-type peptidase activity (GO:0008236)	
0008270	zinc ion binding	zinc ion binding (GO:0008270)	
0008299	isoprenoid biosynthetic process	isoprenoid biosynthetic process (GO:0008299)	
0008324	monoatomic cation transmembrane trans...	monoatomic cation transmembrane transporter activi (GO:0008324)	
0008360	regulation of cell shape	regulation of cell shape (GO:0008360)	
0008381	mechanosensitive monoatomic ion chann...	mechanosensitive monoatomic ion channel activity (GO:0008381)	
0008408	3'-5' exonuclease activity	3'-5' exonuclease activity (GO:0008408)	
0008483	transaminase activity	transaminase activity (GO:0008483)	
0008649	rRNA methyltransferase activity	rRNA methyltransferase activity (GO:0008649)	
0008652	amino acid biosynthetic process	amino acid biosynthetic process (GO:0008652)	
0008654	phospholipid biosynthetic process	phospholipid biosynthetic process (GO:0008654)	
0008658	penicillin binding	penicillin binding (GO:0008658)	
0008716	D-alanine-D-alanine ligase activity	D-alanine-D-alanine ligase activity (GO:0008716)	
0008757	S-adenosylmethionine-dependent methyl...	S-adenosylmethionine-dependent methyltransferase a (GO:0008757)	
0008760	UDP-N-acetylglucosamine 1-carboxyviny...	UDP-N-acetylglucosamine 1-carboxyvinyltransferase  (GO:0008760)	
0008762	UDP-N-acetylmuramate dehydrogenase ac...	UDP-N-acetylmuramate dehydrogenase activity (GO:0008762)	
0008763	UDP-N-acetylmuramate-L-alanine ligase...	UDP-N-acetylmuramate-L-alanine ligase activity (GO:0008763)	
0008764	UDP-N-acetylmuramoylalanine-D-glutama...	UDP-N-acetylmuramoylalanine-D-glutamate ligase act (GO:0008764)	
0008784	alanine racemase activity	alanine racemase activity (GO:0008784)	
0008839	4-hydroxy-tetrahydrodipicolinate redu...	4-hydroxy-tetrahydrodipicolinate reductase (GO:0008839)	
0008840	4-hydroxy-tetrahydrodipicolinate synt...	4-hydroxy-tetrahydrodipicolinate synthase activity (GO:0008840)	
0008961	phosphatidylglycerol-prolipoprotein d...	phosphatidylglycerol-prolipoprotein diacylglyceryl (GO:0008961)	
0008963	phospho-N-acetylmuramoyl-pentapeptide...	phospho-N-acetylmuramoyl-pentapeptide-transferase  (GO:0008963)	
0008966	phosphoglucosamine mutase activity	phosphoglucosamine mutase activity (GO:0008966)	
0009055	electron transfer activity	electron transfer activity (GO:0009055)	
0009058	biosynthetic process	biosynthetic process (GO:0009058)	
0009073	aromatic amino acid family biosynthet...	aromatic amino acid family biosynthetic process (GO:0009073)	
0009086	methionine biosynthetic process	methionine biosynthetic process (GO:0009086)	
0009089	lysine biosynthetic process via diami...	lysine biosynthetic process via diaminopimelate (GO:0009089)	
0009113	purine nucleobase biosynthetic process	purine nucleobase biosynthetic process (GO:0009113)	
0009116	nucleoside metabolic process	nucleoside metabolic process (GO:0009116)	
0009152	purine ribonucleotide biosynthetic pr...	purine ribonucleotide biosynthetic process (GO:0009152)	
0009228	thiamine biosynthetic process	thiamine biosynthetic process (GO:0009228)	
0009249	protein lipoylation	protein lipoylation (GO:0009249)	
0009252	peptidoglycan biosynthetic process	peptidoglycan biosynthetic process (GO:0009252)	
0009294	DNA-mediated transformation	DNA-mediated transformation (GO:0009294)	
0009306	protein secretion	protein secretion (GO:0009306)	
0009320	phosphoribosylaminoimidazole carboxyl...	phosphoribosylaminoimidazole carboxylase complex (GO:0009320)	
0009360	DNA polymerase III complex	DNA polymerase III complex (GO:0009360)	
0009378	four-way junction helicase activity	four-way junction helicase activity (GO:0009378)	
0009379	Holliday junction helicase complex	Holliday junction helicase complex (GO:0009379)	
0009380	excinuclease repair complex	excinuclease repair complex (GO:0009380)	
0009381	excinuclease ABC activity	excinuclease ABC activity (GO:0009381)	
0009408	response to heat	response to heat (GO:0009408)	
0009423	chorismate biosynthetic process	chorismate biosynthetic process (GO:0009423)	
0009432	SOS response	SOS response (GO:0009432)	
0009435	NAD+ biosynthetic process	NAD+ biosynthetic process (GO:0009435)	
0009451	RNA modification	RNA modification (GO:0009451)	
0009982	pseudouridine synthase activity	pseudouridine synthase activity (GO:0009982)	
0010181	FMN binding	FMN binding (GO:0010181)	
0015031	protein transport	protein transport (GO:0015031)	
0015035	protein-disulfide reductase activity	protein-disulfide reductase activity (GO:0015035)	
0015074	DNA integration	DNA integration (GO:0015074)	
0015078	proton transmembrane transporter acti...	proton transmembrane transporter activity (GO:0015078)	
0015136	sialic acid transmembrane transporter...	sialic acid transmembrane transporter activity (GO:0015136)	
0015297	antiporter activity	antiporter activity (GO:0015297)	
0015450	protein-transporting ATPase activity	protein-transporting ATPase activity (GO:0015450)	
0015562	efflux transmembrane transporter acti...	efflux transmembrane transporter activity (GO:0015562)	
0015739	sialic acid transport	sialic acid transport (GO:0015739)	
0015934	large ribosomal subunit	large ribosomal subunit (GO:0015934)	
0015935	small ribosomal subunit	small ribosomal subunit (GO:0015935)	
0015937	coenzyme A biosynthetic process	coenzyme A biosynthetic process (GO:0015937)	
0015949	nucleobase-containing small molecule ...	nucleobase-containing small molecule interconversi (GO:0015949)	
0015986	proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis (GO:0015986)	
0016020	membrane	membrane (GO:0016020)	
0016149	translation release factor activity, ...	translation release factor activity, codon specifi (GO:0016149)	
0016226	iron-sulfur cluster assembly	iron-sulfur cluster assembly (GO:0016226)	
0016301	kinase activity	kinase activity (GO:0016301)	
0016310	phosphorylation	phosphorylation (GO:0016310)	
0016434	rRNA (cytosine) methyltransferase act...	rRNA (cytosine) methyltransferase activity (GO:0016434)	
0016462	pyrophosphatase activity	pyrophosphatase activity (GO:0016462)	
0016491	oxidoreductase activity	oxidoreductase activity (GO:0016491)	
0016616	oxidoreductase activity, acting on th...	oxidoreductase activity, acting on the CH-OH group (GO:0016616)	
0016620	oxidoreductase activity, acting on th...	oxidoreductase activity, acting on the aldehyde or (GO:0016620)	
0016740	transferase activity	transferase activity (GO:0016740)	
0016746	acyltransferase activity	acyltransferase activity (GO:0016746)	
0016747	acyltransferase activity, transferrin...	acyltransferase activity, transferring groups othe (GO:0016747)	
0016757	glycosyltransferase activity	glycosyltransferase activity (GO:0016757)	
0016779	nucleotidyltransferase activity	nucleotidyltransferase activity (GO:0016779)	
0016783	sulfurtransferase activity	sulfurtransferase activity (GO:0016783)	
0016787	hydrolase activity	hydrolase activity (GO:0016787)	
0016788	hydrolase activity, acting on ester b...	hydrolase activity, acting on ester bonds (GO:0016788)	
0016853	isomerase activity	isomerase activity (GO:0016853)	
0016874	ligase activity	ligase activity (GO:0016874)	
0016879	ligase activity, forming carbon-nitro...	ligase activity, forming carbon-nitrogen bonds (GO:0016879)	
0016887	ATP hydrolysis activity	ATP hydrolysis activity (GO:0016887)	
0016987	sigma factor activity	sigma factor activity (GO:0016987)	
0017148	negative regulation of translation	negative regulation of translation (GO:0017148)	
0017150	tRNA dihydrouridine synthase activity	tRNA dihydrouridine synthase activity (GO:0017150)	
0018364	peptidyl-glutamine methylation	peptidyl-glutamine methylation (GO:0018364)	
0019264	glycine biosynthetic process from serine	glycine biosynthetic process from serine (GO:0019264)	
0019277	UDP-N-acetylgalactosamine biosyntheti...	UDP-N-acetylgalactosamine biosynthetic process (GO:0019277)	
0019430	removal of superoxide radicals	removal of superoxide radicals (GO:0019430)	
0019843	rRNA binding	rRNA binding (GO:0019843)	
0022625	cytosolic large ribosomal subunit	cytosolic large ribosomal subunit (GO:0022625)	
0022627	cytosolic small ribosomal subunit	cytosolic small ribosomal subunit (GO:0022627)	
0022857	transmembrane transporter activity	transmembrane transporter activity (GO:0022857)	
0030170	pyridoxal phosphate binding	pyridoxal phosphate binding (GO:0030170)	
0030261	chromosome condensation	chromosome condensation (GO:0030261)	
0030488	tRNA methylation	tRNA methylation (GO:0030488)	
0030955	potassium ion binding	potassium ion binding (GO:0030955)	
0030976	thiamine pyrophosphate binding	thiamine pyrophosphate binding (GO:0030976)	
0031167	rRNA methylation	rRNA methylation (GO:0031167)	
0032259	methylation	methylation (GO:0032259)	
0032784	regulation of DNA-templated transcrip...	regulation of DNA-templated transcription elongati (GO:0032784)	
0033862	UMP kinase activity	UMP kinase activity (GO:0033862)	
0036211	protein modification process	protein modification process (GO:0036211)	
0042026	protein refolding	protein refolding (GO:0042026)	
0042254	ribosome biogenesis	ribosome biogenesis (GO:0042254)	
0042450	L-arginine biosynthetic process via o...	L-arginine biosynthetic process via ornithine (GO:0042450)	
0042586	peptide deformylase activity	peptide deformylase activity (GO:0042586)	
0042626	ATPase-coupled transmembrane transpor...	ATPase-coupled transmembrane transporter activity (GO:0042626)	
0043022	ribosome binding	ribosome binding (GO:0043022)	
0043190	ATP-binding cassette (ABC) transporte...	ATP-binding cassette (ABC) transporter complex (GO:0043190)	
0043565	sequence-specific DNA binding	sequence-specific DNA binding (GO:0043565)	
0043952	protein transport by the Sec complex	protein transport by the Sec complex (GO:0043952)	
0046118	7-methylguanosine biosynthetic process	7-methylguanosine biosynthetic process (GO:0046118)	
0046872	metal ion binding	metal ion binding (GO:0046872)	
0046933	proton-transporting ATP synthase acti...	proton-transporting ATP synthase activity, rotatio (GO:0046933)	
0046983	protein dimerization activity	protein dimerization activity (GO:0046983)	
0047429	nucleoside triphosphate diphosphatase...	nucleoside triphosphate diphosphatase activity (GO:0047429)	
0048501	signal recognition particle, plasma m...	signal recognition particle, plasma membrane targe (GO:0048501)	
0050511	undecaprenyldiphospho-muramoylpentape...	undecaprenyldiphospho-muramoylpentapeptide beta-N- (GO:0050511)	
0050660	flavin adenine dinucleotide binding	flavin adenine dinucleotide binding (GO:0050660)	
0050661	NADP binding	NADP binding (GO:0050661)	
0051082	unfolded protein binding	unfolded protein binding (GO:0051082)	
0051083	'de novo' cotranslational protein fol...	'de novo' cotranslational protein folding (GO:0051083)	
0051287	NAD binding	NAD binding (GO:0051287)	
0051301	cell division	cell division (GO:0051301)	
0051536	iron-sulfur cluster binding	iron-sulfur cluster binding (GO:0051536)	
0051539	4 iron, 4 sulfur cluster binding	4 iron, 4 sulfur cluster binding (GO:0051539)	
0051989	coproporphyrinogen dehydrogenase acti...	coproporphyrinogen dehydrogenase activity (GO:0051989)	
0052381	tRNA dimethylallyltransferase activity	tRNA dimethylallyltransferase activity (GO:0052381)	
0052906	tRNA (guanine(37)-N1)-methyltransfera...	tRNA (guanine(37)-N1)-methyltransferase activity (GO:0052906)	
0055052	ATP-binding cassette (ABC) transporte...	ATP-binding cassette (ABC) transporter complex, su (GO:0055052)	
0055085	transmembrane transport	transmembrane transport (GO:0055085)	
0061710	L-threonylcarbamoyladenylate synthase	L-threonylcarbamoyladenylate synthase (GO:0061710)	
0070006	metalloaminopeptidase activity	metalloaminopeptidase activity (GO:0070006)	
0070403	NAD+ binding	NAD+ binding (GO:0070403)	
0071555	cell wall organization	cell wall organization (GO:0071555)	
0071949	FAD binding	FAD binding (GO:0071949)	
0071951	conversion of methionyl-tRNA to N-for...	conversion of methionyl-tRNA to N-formyl-methionyl (GO:0071951)	
0140359	ABC-type transporter activity	ABC-type transporter activity (GO:0140359)	
0140662	ATP-dependent protein folding chaperone	ATP-dependent protein folding chaperone (GO:0140662)	
1901137	carbohydrate derivative biosynthetic ...	carbohydrate derivative biosynthetic process (GO:1901137)	
1902600	proton transmembrane transport	proton transmembrane transport (GO:1902600)	
1904047	S-adenosyl-L-methionine binding	S-adenosyl-L-methionine binding (GO:1904047)	
1905887	autoinducer AI-2 transmembrane transport	autoinducer AI-2 transmembrane transport (GO:1905887)	
